Time (s),Cart Position (m),Cart Velocity (m/s),Pole Angle (rad),Pole Angular Velocity (rad/s),Control Input (N)
1740035334.1878,0.0000,0.0000,0.0000,0.0000,0.0000
1740035334.1977,0.0000,0.0000,0.0000,0.0000,0.0000
1740035334.2077,-0.0000,-0.0029,0.0000,0.0043,0.1565
1740035334.2177,-0.0000,-0.0016,0.0000,0.0023,0.0930
1740035334.2278,-0.0000,-0.0008,0.0001,0.0013,0.0591
1740035334.2377,-0.0001,-0.0089,0.0002,0.0133,0.5268
1740035334.2483,-0.0002,-0.0075,0.0002,0.0113,0.4635
1740035334.2577,-0.0003,-0.0153,0.0005,0.0229,0.9590
1740035334.2677,-0.0005,-0.0228,0.0007,0.0343,1.4177
1740035334.2778,-0.0006,-0.0120,0.0009,0.0181,0.9024
1740035334.2877,-0.0007,-0.0212,0.0011,0.0319,1.4357
1740035334.2978,-0.0009,-0.0092,0.0013,0.0140,0.8564
1740035334.3078,-0.0009,-0.0029,0.0014,0.0047,0.5480
1740035334.3178,-0.0011,-0.0147,0.0016,0.0226,1.2540
1740035334.3277,-0.0011,-0.0059,0.0017,0.0096,0.8329
1740035334.3378,-0.0012,0.0007,0.0018,-0.0002,0.4979
1740035334.3477,-0.0011,0.0047,0.0017,-0.0059,0.2880
1740035334.3577,-0.0012,-0.0059,0.0019,0.0102,0.9032
1740035334.3677,-0.0012,0.0008,0.0019,0.0004,0.5716
1740035334.3777,-0.0013,-0.0016,0.0020,0.0043,0.7382
1740035334.3877,-0.0013,0.0040,0.0020,-0.0038,0.4547
1740035334.3978,-0.0012,0.0073,0.0019,-0.0084,0.2794
1740035334.4077,-0.0011,0.0046,0.0018,-0.0040,0.4190
1740035334.4177,-0.0011,0.0076,0.0018,-0.0082,0.2582
1740035334.4277,-0.0010,0.0011,0.0017,0.0017,0.5991
1740035334.4377,-0.0009,0.0056,0.0017,-0.0048,0.3652
1740035334.4477,-0.0009,0.0026,0.0016,-0.0001,0.5264
1740035334.4577,-0.0008,0.0066,0.0016,-0.0057,0.3223
1740035334.4677,-0.0008,0.0036,0.0015,-0.0011,0.4776
1740035334.4778,-0.0007,0.0071,0.0015,-0.0061,0.2934
1740035334.4877,-0.0006,0.0052,0.0014,-0.0030,0.3913
1740035334.4977,-0.0006,0.0080,0.0013,-0.0069,0.2423
1740035334.5077,-0.0005,0.0160,0.0012,-0.0187,-0.1953
1740035334.5177,-0.0003,0.0137,0.0011,-0.0151,-0.1062
1740035334.5277,-0.0002,0.0219,0.0009,-0.0271,-0.5727
1740035334.5377,0.0000,0.0165,0.0007,-0.0188,-0.3310
1740035334.5477,0.0002,0.0389,0.0005,-0.0524,-1.5809
1740035334.5578,0.0005,0.0250,0.0001,-0.0313,-0.9309
1740035334.5678,0.0007,0.0175,-0.0001,-0.0200,-0.5852
1740035334.5777,0.0008,0.0122,-0.0003,-0.0120,-0.3417
1740035334.5877,0.0010,0.0512,-0.0004,-0.0706,-2.4750
1740035334.5978,0.0014,0.0298,-0.0010,-0.0384,-1.4650
1740035334.6077,0.0016,0.0184,-0.0012,-0.0214,-0.9278
1740035334.6178,0.0021,0.0528,-0.0019,-0.0730,-2.9625
1740035334.6278,0.0025,0.0300,-0.0024,-0.0390,-1.8817
1740035334.6378,0.0032,0.0621,-0.0034,-0.0873,-3.8806
1740035334.6478,0.0035,0.0359,-0.0039,-0.0481,-2.6283
1740035334.6577,0.0042,0.0604,-0.0049,-0.0853,-4.2370
1740035334.6678,0.0047,0.0605,-0.0056,-0.0861,-4.4625
1740035334.6778,0.0050,0.0344,-0.0061,-0.0474,-3.2100
1740035334.6877,0.0052,0.0250,-0.0063,-0.0341,-2.8186
1740035334.6977,0.0054,0.0023,-0.0065,-0.0010,-1.6936
1740035334.7077,0.0053,-0.0082,-0.0064,0.0139,-1.1620
1740035334.7177,0.0053,-0.0073,-0.0063,0.0119,-1.2339
1740035334.7277,0.0052,-0.0154,-0.0062,0.0232,-0.8040
1740035334.7378,0.0051,-0.0192,-0.0060,0.0281,-0.5927
1740035334.7477,0.0048,-0.0427,-0.0056,0.0624,0.7092
1740035334.7577,0.0044,-0.0351,-0.0051,0.0500,0.3978
1740035334.7677,0.0040,-0.0536,-0.0045,0.0768,1.4798
1740035334.7777,0.0037,-0.0423,-0.0040,0.0593,0.9830
1740035334.7877,0.0033,-0.0327,-0.0035,0.0441,0.5632
1740035334.7977,0.0026,-0.0578,-0.0025,0.0810,2.1243
1740035334.8077,0.0022,-0.0406,-0.0019,0.0546,1.3336
1740035334.8177,0.0018,-0.0266,-0.0015,0.0332,0.6849
1740035334.8277,0.0016,-0.0400,-0.0012,0.0530,1.4678
1740035334.8378,0.0013,-0.0307,-0.0009,0.0389,1.0429
1740035334.8477,0.0011,-0.0200,-0.0005,0.0226,0.5438
1740035334.8578,0.0007,-0.0500,-0.0001,0.0675,2.2626
1740035334.8677,0.0003,-0.0248,0.0004,0.0295,1.0380
1740035334.8777,0.0001,-0.0157,0.0006,0.0159,0.6081
1740035334.8878,0.0000,0.0027,0.0007,-0.0116,-0.3530
1740035334.8978,0.0000,0.0001,0.0006,-0.0076,-0.2303
1740035334.9077,0.0001,0.0159,0.0006,-0.0313,-1.1027
1740035334.9177,0.0002,0.0066,0.0003,-0.0172,-0.6618
1740035334.9277,0.0002,0.0012,0.0002,-0.0089,-0.4006
1740035334.9377,0.0002,-0.0020,0.0001,-0.0041,-0.2458
1740035334.9477,0.0002,-0.0040,0.0001,-0.0011,-0.1471
1740035334.9577,0.0003,0.0120,-0.0002,-0.0251,-1.0785
1740035334.9678,0.0004,0.0184,-0.0004,-0.0346,-1.4803
1740035334.9783,0.0005,0.0073,-0.0006,-0.0179,-0.9484
1740035334.9877,0.0005,0.0090,-0.0007,-0.0206,-1.0754
1740035334.9978,0.0006,0.0003,-0.0008,-0.0075,-0.6491
1740035335.0084,0.0006,-0.0028,-0.0009,-0.0030,-0.4984
