Time (s),Cart Position (m),Cart Velocity (m/s),Pole Angle (rad),Pole Angular Velocity (rad/s),Control Input (N),Q0,Q1,Q2,Q3,R
1740036672.7421,-0.0000,-0.0298,0.0001,0.0447,1.6160,11.1111,0.2500,25.0000,0.2500,0.0044
1740036672.7521,-0.0004,-0.0316,0.0006,0.0473,1.8603,11.1111,0.2500,25.0000,0.2500,0.0044
1740036672.7621,-0.0007,-0.0339,0.0010,0.0508,2.0792,11.1111,0.2500,25.0000,0.2500,0.0044
1740036672.7721,-0.0011,-0.0325,0.0016,0.0486,2.1683,11.1111,0.2500,25.0000,0.2500,0.0044
1740036672.7820,-0.0013,-0.0284,0.0019,0.0426,2.0476,11.1111,0.2500,25.0000,0.2500,0.0044
1740036672.7921,-0.0016,-0.0248,0.0024,0.0374,1.9830,11.1111,0.2500,25.0000,0.2500,0.0044
1740036672.8021,-0.0018,-0.0395,0.0027,0.0598,2.8732,11.1111,0.2500,25.0000,0.2500,0.0044
1740036672.8120,-0.0020,-0.0156,0.0031,0.0242,1.7159,11.1111,0.2500,25.0000,0.2500,0.0044
1740036672.8221,-0.0021,-0.0045,0.0032,0.0077,1.1691,11.1111,0.2500,25.0000,0.2500,0.0044
1740036672.8321,-0.0026,-0.0397,0.0039,0.0611,3.2714,11.1111,0.2500,25.0000,0.2500,0.0044
1740036672.8421,-0.0028,-0.0382,0.0043,0.0592,3.3314,11.1111,0.2500,25.0000,0.2500,0.0044
1740036672.8521,-0.0031,-0.0135,0.0046,0.0226,2.1307,11.1111,0.2500,25.0000,0.2500,0.0044
1740036672.8621,-0.0032,-0.0446,0.0048,0.0699,3.8862,11.1111,0.2500,25.0000,0.2500,0.0044
1740036672.8721,-0.0037,-0.0364,0.0056,0.0581,3.6963,11.1111,0.2500,25.0000,0.2500,0.0044
1740036672.8821,-0.0039,-0.0334,0.0060,0.0542,3.6703,11.1111,0.2500,25.0000,0.2500,0.0044
1740036672.8921,-0.0042,-0.0359,0.0065,0.0585,3.9736,11.1111,0.2500,25.0000,0.2500,0.0044
1740036672.9020,-0.0044,-0.0396,0.0069,0.0649,4.3339,11.1111,0.2500,25.0000,0.2500,0.0044
