Time (s),Cart Position (m),Cart Velocity (m/s),Pole Angle (rad),Pole Angular Velocity (rad/s),Control Input (N)
1740021136.9453,-0.0001,-0.0477,0.0002,0.0716,2.6059
1740021136.9553,-0.0005,-0.0254,0.0007,0.0380,1.5479
1740021136.9653,-0.0012,-0.1490,0.0018,0.2234,8.4613
1740021136.9753,-0.0023,-0.0768,0.0034,0.1149,5.0300
1740021136.9852,-0.0036,-0.2336,0.0053,0.3503,13.9669
1740021136.9953,-0.0052,-0.1152,0.0079,0.1727,8.3117
1740021137.0052,-0.0069,-0.2805,0.0103,0.4213,17.8768
1740021137.0152,-0.0092,-0.1689,0.0139,0.2545,12.9051
1740021137.0252,-0.0112,-0.2785,0.0168,0.4204,19.6653
1740021137.0352,-0.0130,-0.1305,0.0195,0.1997,12.5445
1740021137.0452,-0.0145,-0.2348,0.0218,0.3586,18.9150
1740021137.0553,-0.0163,-0.1130,0.0247,0.1783,13.3053
1740021137.0652,-0.0173,-0.1297,0.0263,0.2067,14.8320
1740021137.0752,-0.0182,-0.0290,0.0277,0.0590,10.0162
1740021137.0853,-0.0182,-0.0086,0.0279,0.0324,9.2317
1740021137.0952,-0.0180,0.0545,0.0278,-0.0580,6.0623
1740021137.1053,-0.0172,0.0892,0.0270,-0.1059,4.2165
1740021137.1152,-0.0163,0.1143,0.0258,-0.1398,2.7913
1740021137.1252,-0.0149,0.1674,0.0241,-0.2152,-0.2791
1740021137.1353,-0.0132,0.1645,0.0219,-0.2068,-0.4691
1740021137.1452,-0.0113,0.2318,0.0195,-0.3040,-4.5090
1740021137.1552,-0.0091,0.2001,0.0166,-0.2529,-3.3732
1740021137.1653,-0.0068,0.2848,0.0137,-0.3769,-8.5217
1740021137.1752,-0.0044,0.2058,0.0106,-0.2556,-4.9588
1740021137.1853,-0.0024,0.2700,0.0080,-0.3499,-8.9820
1740021137.1953,0.0001,0.2064,0.0049,-0.2525,-6.2860
1740021137.2052,0.0023,0.2699,0.0022,-0.3464,-10.3444
1740021137.2152,0.0047,0.1982,-0.0008,-0.2379,-7.2437
1740021137.2252,0.0067,0.2358,-0.0033,-0.2939,-9.8815
1740021137.2352,0.0087,0.1658,-0.0057,-0.1887,-6.7745
1740021137.2452,0.0104,0.1916,-0.0076,-0.2277,-8.6732
1740021137.2552,0.0120,0.1301,-0.0095,-0.1361,-5.9036
1740021137.2652,0.0132,0.1212,-0.0107,-0.1238,-5.7927
1740021137.2752,0.0142,0.0777,-0.0116,-0.0599,-3.7701
1740021137.2852,0.0149,0.0600,-0.0120,-0.0349,-3.0077
1740021137.2952,0.0153,0.0364,-0.0122,-0.0012,-1.8694
1740021137.3052,0.0155,-0.0180,-0.0118,0.0785,1.0531
1740021137.3152,0.0153,-0.0159,-0.0110,0.0734,1.0665
1740021137.3252,0.0148,-0.0933,-0.0099,0.1878,5.4495
1740021137.3352,0.0142,-0.0509,-0.0085,0.1225,3.4665
1740021137.3452,0.0134,-0.1358,-0.0068,0.2483,8.3943
1740021137.3552,0.0122,-0.0842,-0.0047,0.1693,6.1486
1740021137.3653,0.0110,-0.1961,-0.0024,0.3361,12.7109
1740021137.3752,0.0097,-0.0991,-0.0001,0.1895,8.0924
1740021137.3852,0.0081,-0.2755,0.0026,0.4538,18.2906
1740021137.3952,0.0058,-0.1637,0.0065,0.2853,13.3386
1740021137.4052,0.0037,-0.3179,0.0100,0.5169,22.5885
1740021137.4152,0.0012,-0.1733,0.0143,0.3005,16.0458
1740021137.4252,-0.0010,-0.3406,0.0180,0.5527,26.1052
1740021137.4352,-0.0037,-0.1736,0.0225,0.3038,18.4866
1740021137.4452,-0.0059,-0.3486,0.0262,0.5688,29.0363
1740021137.4552,-0.0086,-0.1631,0.0307,0.2932,20.5059
1740021137.4652,-0.0105,-0.2883,0.0340,0.4848,28.3403
1740021137.4752,-0.0125,-0.1043,0.0377,0.2129,19.7387
1740021137.4852,-0.0136,-0.1893,0.0399,0.3454,25.2143
1740021137.4952,-0.0148,-0.0255,0.0423,0.1051,17.4189
1740021137.5052,-0.0149,-0.0417,0.0431,0.1354,18.8780
1740021137.5153,-0.0147,0.0821,0.0437,-0.0441,12.7672
1740021137.5252,-0.0135,0.1477,0.0426,-0.1359,9.3832
1740021137.5353,-0.0119,0.2064,0.0410,-0.2178,6.1673
1740021137.5452,-0.0095,0.2713,0.0384,-0.3086,2.3758
1740021137.5553,-0.0067,0.2832,0.0352,-0.3200,1.2656
1740021137.5652,-0.0032,0.4465,0.0310,-0.5588,-8.2337
1740021137.5752,0.0011,0.3928,0.0257,-0.4725,-6.4386
1740021137.5853,0.0056,0.5452,0.0203,-0.6962,-15.7758
1740021137.5952,0.0106,0.4368,0.0140,-0.5289,-11.3826
1740021137.6053,0.0154,0.5832,0.0081,-0.7453,-20.6059
1740021137.6152,0.0206,0.4409,0.0015,-0.5291,-14.5658
1740021137.6252,0.0251,0.5293,-0.0039,-0.6602,-20.6723
1740021137.6352,0.0298,0.3825,-0.0096,-0.4391,-14.2464
1740021137.6452,0.0338,0.4796,-0.0142,-0.5851,-20.6970
1740021137.6552,0.0379,0.3359,-0.0191,-0.3705,-14.3451
1740021137.6653,0.0411,0.3384,-0.0226,-0.3761,-15.4886
1740021137.6752,0.0436,0.2180,-0.0251,-0.1979,-9.8111
1740021137.6852,0.0455,0.1964,-0.0267,-0.1687,-9.2420
1740021137.6952,0.0471,0.1267,-0.0279,-0.0677,-5.9953
1740021137.7053,0.0479,0.0190,-0.0278,0.0898,-0.3943
1740021137.7152,0.0479,0.0049,-0.0267,0.1066,0.4457
1740021137.7252,0.0477,-0.0680,-0.0253,0.2117,4.5503
1740021137.7352,0.0471,-0.0420,-0.0233,0.1685,3.4935
1740021137.7452,0.0464,-0.1219,-0.0212,0.2846,8.1566
1740021137.7552,0.0456,-0.0519,-0.0190,0.1758,4.8370
1740021137.7653,0.0450,-0.0956,-0.0172,0.2384,7.5255
1740021137.7753,0.0442,-0.0451,-0.0152,0.1596,5.2336
1740021137.7852,0.0440,-0.0171,-0.0139,0.1150,3.9723
1740021137.7952,0.0440,0.0156,-0.0130,0.0638,2.3589
1740021137.8053,0.0445,0.1117,-0.0130,-0.0822,-2.8815
1740021137.8152,0.0456,0.1005,-0.0139,-0.0672,-2.5836
1740021137.8252,0.0474,0.2948,-0.0157,-0.3605,-13.5622
1740021137.8352,0.0501,0.2166,-0.0189,-0.2446,-10.3092
1740021137.8452,0.0531,0.4752,-0.0227,-0.6346,-25.2959
1740021137.8552,0.0573,0.3196,-0.0282,-0.4032,-18.5450
1740021137.8652,0.0613,0.5845,-0.0334,-0.8036,-34.3220
1740021137.8752,0.0663,0.3660,-0.0402,-0.4791,-24.6179
1740021137.8852,0.0708,0.6621,-0.0462,-0.9278,-42.3734
1740021137.8952,0.0763,0.3913,-0.0539,-0.5268,-30.2303
1740021137.9052,0.0807,0.6167,-0.0599,-0.8710,-44.2832
1740021137.9152,0.0856,0.3276,-0.0668,-0.4451,-31.1012
1740021137.9252,0.0892,0.5150,-0.0717,-0.7344,-42.9522
1740021137.9352,0.0931,0.2350,-0.0773,-0.3244,-30.0360
1740021137.9452,0.0954,0.3361,-0.0806,-0.4863,-36.9252
