Time (s),Cart Position (m),Cart Velocity (m/s),Pole Angle (rad),Pole Angular Velocity (rad/s),Control Input (N),Q0,Q1,Q2,Q3,R
1740039069.5707,0.0005,0.1312,-0.0008,-0.1968,-7.2468,11.1111,0.2500,25.0000,0.2500,0.0044
1740039069.5800,0.0023,0.2292,-0.0034,-0.3434,-13.1997,11.1111,0.2500,25.0000,0.2500,0.0044
1740039069.5900,0.0041,0.1543,-0.0061,-0.2308,-9.9057,11.1111,0.2500,25.0000,0.2500,0.0044
1740039069.6000,0.0055,0.1997,-0.0083,-0.2993,-12.9529,11.1111,0.2500,25.0000,0.2500,0.0044
1740039069.6100,0.0072,0.1186,-0.0108,-0.1781,-9.3251,11.1111,0.2500,25.0000,0.2500,0.0044
1740039069.6201,0.0083,0.1769,-0.0125,-0.2667,-12.9679,11.1111,0.2500,25.0000,0.2500,0.0044
1740039069.6300,0.0101,0.1136,-0.0152,-0.1732,-10.4083,11.1111,0.2500,25.0000,0.2500,0.0044
1740039069.6401,0.0114,0.1887,-0.0171,-0.2877,-15.0522,11.1111,0.2500,25.0000,0.2500,0.0044
1740039069.6500,0.0125,0.0765,-0.0189,-0.1211,-9.6180,11.1111,0.2500,25.0000,0.2500,0.0044
1740039069.6600,0.0131,0.0994,-0.0199,-0.1580,-11.2648,11.1111,0.2500,25.0000,0.2500,0.0044
1740039069.6700,0.0138,0.0299,-0.0210,-0.0563,-8.0122,11.1111,0.2500,25.0000,0.2500,0.0044
1740039069.6800,0.0142,0.0881,-0.0217,-0.1467,-11.4975,11.1111,0.2500,25.0000,0.2500,0.0044
1740039069.6900,0.0146,-0.0041,-0.0224,-0.0112,-6.9226,11.1111,0.2500,25.0000,0.2500,0.0044
1740039069.7000,0.0145,0.0211,-0.0225,-0.0524,-8.4984,11.1111,0.2500,25.0000,0.2500,0.0044
1740039069.7101,0.0144,-0.0449,-0.0225,0.0434,-5.1506,11.1111,0.2500,25.0000,0.2500,0.0044
1740039069.7201,0.0137,-0.0720,-0.0219,0.0807,-3.7199,11.1111,0.2500,25.0000,0.2500,0.0044
1740039069.7301,0.0130,-0.0946,-0.0210,0.1113,-2.4587,11.1111,0.2500,25.0000,0.2500,0.0044
1740039069.7405,0.0120,-0.1139,-0.0199,0.1373,-1.2987,11.1111,0.2500,25.0000,0.2500,0.0044
1740039069.7500,0.0108,-0.1223,-0.0184,0.1466,-0.6511,11.1111,0.2500,25.0000,0.2500,0.0044
1740039069.7601,0.0096,-0.1333,-0.0169,0.1601,0.1548,11.1111,0.2500,25.0000,0.2500,0.0044
1740039069.7700,0.0083,-0.1258,-0.0154,0.1460,-0.0103,11.1111,0.2500,25.0000,0.2500,0.0044
1740039069.7800,0.0071,-0.1668,-0.0139,0.2052,2.4427,11.1111,0.2500,25.0000,0.2500,0.0044
1740039069.7900,0.0054,-0.1510,-0.0120,0.1790,1.9810,11.1111,0.2500,25.0000,0.2500,0.0044
1740039069.8001,0.0037,-0.2233,-0.0099,0.2853,6.2863,11.1111,0.2500,25.0000,0.2500,0.0044
1740039069.8100,0.0018,-0.1646,-0.0075,0.1951,3.6460,11.1111,0.2500,25.0000,0.2500,0.0044
1740039069.8200,-0.0002,-0.2876,-0.0050,0.3781,10.8107,11.1111,0.2500,25.0000,0.2500,0.0044
