Date,Temperature,Precipitation
01/01/2024,M,0
02/01/2024,50.5,0
03/01/2024,49.5,0
04/01/2024,49,0.01
05/01/2024,45,0
06/01/2024,46,0
07/01/2024,M,0.04
08/01/2024,43.5,0
09/01/2024,43,0
10/01/2024,M,0
11/01/2024,M,0
12/01/2024,M,S
13/01/2024,M,0.00A
14/01/2024,M,0
15/01/2024,50,0
16/01/2024,51,0
17/01/2024,M,0
18/01/2024,57,0
19/01/2024,58,0
20/01/2024,58,0
21/01/2024,55,0.02
22/01/2024,53,0.02
23/01/2024,55.5,0.9
24/01/2024,58,0.04
25/01/2024,54.5,0
26/01/2024,54,0
27/01/2024,M,S
28/01/2024,M,0.00A
29/01/2024,M,0
30/01/2024,63.5,0
31/01/2024,63,0
01/02/2024,M,0
02/02/2024,60,0.51
03/02/2024,51,0
04/02/2024,56,0
05/02/2024,60,0
06/02/2024,60,0.05
07/02/2024,52,0.3
08/02/2024,49.5,0.32
09/02/2024,46.5,0.01
10/02/2024,49.5,0.16
11/02/2024,48,0
12/02/2024,50,0
13/02/2024,52.5,0
14/02/2024,53,0
15/02/2024,56.5,0
16/02/2024,55.5,0
17/02/2024,57.5,0
18/02/2024,59,0
19/02/2024,M,0
20/02/2024,62.5,0
21/02/2024,58,0
22/02/2024,59.5,0
23/02/2024,62,0
24/02/2024,63,0
25/02/2024,65.5,0
26/02/2024,67.5,0
27/02/2024,60,0
28/02/2024,59.5,0
01/03/2024,62,0
02/03/2024,M,S
03/03/2024,M,0.00A
04/03/2024,56.5,0
05/03/2024,60,0
06/03/2024,56.5,0
07/03/2024,M,0.22
08/03/2024,58.5,0.22
09/03/2024,60.5,0
10/03/2024,63.5,0
11/03/2024,65,0
12/03/2024,61.5,0
13/03/2024,M,0
14/03/2024,58.5,0
15/03/2024,M,0.25
16/03/2024,54,0.01
17/03/2024,M,0.02
18/03/2024,60.5,0
19/03/2024,61.5,0
20/03/2024,M,S
21/03/2024,M,0.00A
22/03/2024,67.5,0
23/03/2024,M,S
24/03/2024,M,0.26A
25/03/2024,M,0.03
26/03/2024,M,0.01
27/03/2024,M,0
28/03/2024,64,0
29/03/2024,M,S
30/03/2024,M,0.00A
31/03/2024,M,0.39
01/04/2024,M,0.5
02/04/2024,59.5,0
03/04/2024,62,0
04/04/2024,69,0
05/04/2024,M,0.01
06/04/2024,55,0
07/04/2024,57.5,0
08/04/2024,59.5,0
09/04/2024,M,0
10/04/2024,66.5,0
11/04/2024,73,0
12/04/2024,M,0
13/04/2024,M,0
14/04/2024,M,0
15/04/2024,M,0
16/04/2024,67,0
17/04/2024,M,0
18/04/2024,74,0
19/04/2024,72.5,0
20/04/2024,M,S
21/04/2024,M,0.00A
22/04/2024,M,0
23/04/2024,M,0
24/04/2024,M,0
25/04/2024,74,0
26/04/2024,69.5,0
27/04/2024,M,0
28/04/2024,71.5,0
29/04/2024,75.5,0
30/04/2024,77,0
01/05/2024,75.5,0
02/05/2024,77.5,0
03/05/2024,76.5,0
04/05/2024,77.5,0
05/05/2024,78,0
06/05/2024,71.5,0
07/05/2024,71.5,0
08/05/2024,74.5,0
09/05/2024,71.5,0
10/05/2024,M,0
